Artist,Name,Date,ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Old Daisy,Nightlife,2022-02-28,618RkOHKWNX9AL9pYStLoB,0.705,0.608,4,-7.113,0.0344,0.0111,0,0.208,0.726,129.015,257439
Harrison Fjord,Game,2022-02-28,2iMx8nJYSZm9xWP1W7lo6g,0.49,0.872,11,-6.409,0.0883,0.00176,0.000178,0.38,0.498,92.439,220541
Magic Sugar Coffee,Dogs,2022-02-22,2zHaTtWjR0XW0PQhyp8jyp,0.709,0.755,1,-6.227,0.126,0.0765,0,0.111,0.824,77.008,155366
nân,Tình Đắng Như Ly Cà Phê,2022-02-18,2WOpp4vm16unl0N3i3BNNv,0.754,0.0774,1,-20.617,0.0578,0.923,0,0.0802,0.701,116.071,215172
FantasticYouth,外道讃歌,2022-02-18,5iPg9OCOa6Jv7Y9HLrtmxC,0.609,0.749,6,-3.373,0.0461,0.376,0,0.0628,0.533,99.951,269031
Kick the Robot,Supermassive Automatic,2022-02-16,4MCyGRJqGyFwevVJ3rctN6,0.523,0.622,6,-4.562,0.0312,0.00256,0.000361,0.147,0.564,91.001,230680
Em Beihold,Numb Little Bug,2022-02-13,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0.0769,0.327,0,0.25,0.638,84.974,169238
Elysewood,Golden,2022-02-06,0LgUSrM3TSlqmsEWAyTHZx,0.676,0.769,11,-4.967,0.0293,0.242,0,0.118,0.766,100.066,193013
Arnaud Roy,Across the Drift (Riftborn Theme),2022-02-06,6w671ocuGrpOHauHD6CoJ4,0.487,0.113,9,-19.645,0.0329,0.906,0.939,0.0727,0.0398,76.013,403079
Ludovico Einaudi,Experience,2022-02-06,1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Ludovico Einaudi,Nuvole Bianche,2022-02-03,3weNRklVDqb4Rr5MhKBR3D,0.191,0.0582,8,-25.398,0.0578,0.961,0.89,0.0941,0.0454,132.614,357707
BESS,Ram pam pam,2022-02-01,55qPuI6NekVyNPM6kh5DN4,0.705,0.919,4,-5.799,0.0604,0.00724,0,0.0891,0.921,140.024,179879
Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",2022-01-31,3sAYxq1986j3ydqLv6jwUJ,0,0.0842,9,-19.397,0,0.755,0.889,0.262,0,0,432533
The Hush Sound,The Boys Are Too Refined,2022-01-15,5QanhxGCM2Hh09IE24Ux88,0.493,0.75,2,-5.365,0.0457,0.435,0,0.0905,0.545,187.081,195387
Jonah Green,Now You Know,2021-12-27,7tdvs2ZRY4kmkqCPvF5MMG,0.742,0.877,9,-6.054,0.0625,0.0588,0,0.0561,0.706,114.021,192545
GRMLN,War,2021-12-26,1fLlPHCQJK2MCFR3UKL4Lt,0.56,0.844,7,-5.314,0.0706,0.00267,0.000173,0.124,0.524,136.053,141552
The Happy Fits,Too Late,2021-12-24,3LbO439QNr3IX7Ho39Fq8X,0.685,0.554,7,-10.473,0.115,0.443,0,0.482,0.789,160.002,201258
Sia,Snowman,2021-12-23,7uoFMmxln0GPXQ0AcCBXRq,0.716,0.512,1,-6.257,0.0331,0.483,0,0.0928,0.326,104.957,165907
The Happy Fits,"So Alright, Cool, Whatever",2021-12-23,5NxC33tgrysAEqc62yukdT,0.685,0.642,0,-5.417,0.0372,0.0997,0,0.0343,0.763,130.02,191360
Andy Leon,"Zanesville, Ohio",2021-12-23,66QnHdVY2qDvFEw4xzYr6n,0.514,0.112,7,-14.527,0.0416,0.959,0,0.111,0.345,118.622,167699
Sia,Everyday Is Christmas,2021-12-23,55e1j5XelKUcvHVfpodVwB,0.553,0.512,0,-6.216,0.0285,0.039,6.3e-06,0.103,0.205,148.074,203667
Christina Perri,A Thousand Years,2021-12-23,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,285120
Ezra Bell,Goat's Milk,2021-12-23,0EYe1EIFXb5Ob9hgDtCj0w,0.755,0.66,9,-7.347,0.0841,0.472,0,0.1,0.869,118.757,173573
Nena,99 Luftballons,2021-12-20,4ZhPLoMzZwewHLLjV1J15c,0.575,0.555,4,-7.495,0.0453,0.103,1.3e-06,0.111,0.504,95.361,232467
Patent Pending,Six Feet,2021-12-20,0LvkE0gOLzfUTO7MoFNssM,0.702,0.911,9,-6.772,0.0781,0.196,0,0.18,0.76,115.968,200213
Superfly,覚醒,2021-12-20,0Zx9UoN735NPQxsQia53T5,0.544,0.903,0,-4.868,0.178,0.108,5.11e-06,0.0897,0.158,107.923,255160
Fox Royale,Don't Call Me When You're Lonely,2021-12-16,1RFw3WP9vBrOzUTVyr2wxe,0.463,0.904,2,-3.942,0.0406,0.000117,1.07e-05,0.347,0.59,117.005,161907
Sara Jackson-Holman,Cellophane,2021-12-07,7LQlKf3qNDu4w5zo8fQWeZ,0.791,0.438,7,-10.089,0.0268,0.773,0.263,0.0807,0.736,92.013,187680
XTC,Dear God - Remastered 2001,2021-12-04,6nFdjV1Ko66O111x74K2kn,0.577,0.464,7,-7.943,0.024,0.0979,1.3e-06,0.154,0.346,90.557,219507
Gin Wigmore,Hey Ho,2021-11-29,6tgW8txxOHSdmBss4XfkzF,0.659,0.833,5,-3.514,0.025,0.0135,0.371,0.154,0.763,112.134,243533
11 Acorn Lane,Too Hot,2021-11-27,3eL0dhFrfn8MCbf3RCYZ95,0.847,0.788,2,-4.646,0.0338,0.488,0.492,0.223,0.876,110.026,186890
Bowling For Soup,Stacy's Mom,2021-11-24,19Js5ypV6JKn4DMExHQbGc,0.728,0.801,4,-3.636,0.0752,0.00349,0.000195,0.0907,0.813,119.989,193043
